canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,fuente
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccccc1F)Nc1ccccc1-3,CHEMBL1222338,IC50,nM,2000.0,IC50(app),uM,2.0,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccccc1)Nc1ccccc1-3,CHEMBL1222339,IC50,nM,2500.0,IC50(app),uM,2.5,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(O)cc1)Nc1ccccc1-3,CHEMBL1222340,IC50,nM,4500.0,IC50(app),uM,4.5,ChEMBL
COc1cc(O)ccc1C1Nc2ccccc2-n2c(-c3ccccc3)c3c(=O)n(C)c(=O)n(C)c3c21,CHEMBL1222403,IC50,nM,100000.0,IC50(app),uM,100.0,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2ccc(O)cc2)c1,CHEMBL1222404,IC50,nM,1700.0,IC50(app),uM,1.7,ChEMBL
COc1cccc(C2Nc3ccccc3-n3c(-c4cccc(C)c4)c4c(=O)n(C)c(=O)n(C)c4c32)c1,CHEMBL1222405,IC50,nM,1700.0,IC50(app),uM,1.7,ChEMBL
COc1cccc(C2Nc3ccccc3-n3c(-c4ccccc4F)c4c(=O)n(C)c(=O)n(C)c4c32)c1,CHEMBL1222406,IC50,nM,2000.0,IC50(app),uM,2.0,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2cccc([N+](=O)[O-])c2F)c1,CHEMBL1221481,IC50,nM,2000.0,IC50(app),uM,2.0,ChEMBL
Cc1ccccc1-c1c2c(=O)n(C)c(=O)n(C)c2c2n1-c1ccccc1NC2c1cccc([N+](=O)[O-])c1,CHEMBL1221482,IC50,nM,2000.0,IC50(app),uM,2.0,ChEMBL
Cn1c(=O)c2c(-c3ccccc3F)n3c(c2n(C)c1=O)C(c1cccc(Cl)c1)Nc1ccccc1-3,CHEMBL1221483,IC50,nM,2500.0,IC50(app),uM,2.5,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2ccccc2F)c1,CHEMBL1221484,IC50,nM,2500.0,IC50(app),uM,2.5,ChEMBL
COc1cccc(C2Nc3ccccc3-n3c(-c4ccccc4C)c4c(=O)n(C)c(=O)n(C)c4c32)c1,CHEMBL1221530,IC50,nM,3000.0,IC50(app),uM,3.0,ChEMBL
Cc1cccc(C2Nc3ccccc3-n3c(-c4ccccc4C)c4c(=O)n(C)c(=O)n(C)c4c32)c1,CHEMBL1221531,IC50,nM,3000.0,IC50(app),uM,3.0,ChEMBL
Cc1ccccc1-c1c2c(=O)n(C)c(=O)n(C)c2c2n1-c1ccccc1NC2c1ccccc1,CHEMBL1221532,IC50,nM,5000.0,IC50(app),uM,5.0,ChEMBL
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2cccc(F)c2)c1,CHEMBL1221533,IC50,nM,8000.0,IC50(app),uM,8.0,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1087004,IC50,nM,90.0,IC50,nM,90.0,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1087004,IC50,nM,1000.0,IC50,uM,1.0,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1087004,IC50,nM,1000.0,IC50,uM,1.0,ChEMBL
Cc1nc2cccc[n+]2c(C)c1[O-],CHEMBL1779949,IC50,nM,5.0,IC50,nM,5.0,ChEMBL
Cc1nc2c3ccccc3cc[n+]2c(C)c1[O-],CHEMBL1779950,IC50,nM,16.0,IC50,nM,16.0,ChEMBL
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,IC50,nM,15000.0,IC50,uM,15.0,ChEMBL
C[C@]1(C(=O)O)N=C2c3ccccc3C=CN2[C@](C)(O)[C@@H]1O,CHEMBL1779953,IC50,nM,15.0,IC50,nM,15.0,ChEMBL
C[C@]1(C(=O)O)N=C2c3ccccc3C=CN2[C@](C)(O)[C@H]1O,CHEMBL1779954,IC50,nM,15.0,IC50,nM,15.0,ChEMBL
O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CHEMBL461939,IC50,nM,300.0,IC50,nM,300.0,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1087004,IC50,nM,250.0,IC50,uM,0.25,ChEMBL
Cc1ccc(C2c3c4c(c(-c5ccccc5)n3-c3ccccc3N2S(C)(=O)=O)c(=O)n(C)c(=O)n4C)o1,CHEMBL1831049,IC50,,,IC50,,,ChEMBL
Cc1ccc(C2c3c4c(c(-c5ccccc5)n3-c3ccccc3N2C(=O)CCl)c(=O)n(C)c(=O)n4C)o1,CHEMBL1831050,IC50,,,IC50,,,ChEMBL
CC(=O)N1c2ccccc2-n2c(-c3ccccc3)c3c(=O)n(C)c(=O)n(C)c3c2C1c1ccc(C)o1,CHEMBL1831051,IC50,,,IC50,,,ChEMBL
Cc1ccc(C2c3c4c(c(-c5ccccc5)n3-c3ccccc3N2N=O)c(=O)n(C)c(=O)n4C)o1,CHEMBL1831052,IC50,nM,2000.0,IC50,uM,2.0,ChEMBL
Cc1ccc(C2c3c4c(c(-c5ccccc5)n3-c3ccccc3N2C)c(=O)n(C)c(=O)n4C)o1,CHEMBL1831053,IC50,nM,1000.0,IC50,uM,1.0,ChEMBL
CCc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)o1,CHEMBL1831054,IC50,nM,300.0,IC50,uM,0.3,ChEMBL
Cc1ccc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)s1,CHEMBL1831055,IC50,nM,1700.0,IC50,uM,1.7,ChEMBL
Cc1cc(C2Nc3ccccc3-n3c(-c4ccccc4)c4c(=O)n(C)c(=O)n(C)c4c32)oc1C,CHEMBL1831056,IC50,nM,1700.0,IC50,uM,1.7,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Cl)o1)Nc1ccccc1-3,CHEMBL1831057,IC50,nM,150.0,IC50,uM,0.15,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(Br)o1)Nc1ccccc1-3,CHEMBL1831058,IC50,nM,90.0,IC50,uM,0.09,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(I)o1)Nc1ccccc1-3,CHEMBL1831059,IC50,nM,170.0,IC50,uM,0.17,ChEMBL
Cn1c(=O)c2c(-c3ccccc3)n3c(c2n(C)c1=O)C(c1ccc(C(F)(F)F)o1)Nc1ccccc1-3,CHEMBL1831060,IC50,nM,350.0,IC50,uM,0.35,ChEMBL
