canonical_key,canonical_smiles,pIC50,fuente
CC(C)(C)c1nn(-c2ccccc2)c2nc(C(=O)O)cc(-c3ccc(N4CCOCC4)cc3)c12,CC(C)(C)c1nn(-c2ccccc2)c2nc(C(=O)O)cc(-c3ccc(N4CCOCC4)cc3)c12,6.286509456906058,"BindingDB,ChEMBL"
CC(C)(CO)CNc1ccn2nccc2n1,CC(C)(CO)CNc1ccn2nccc2n1,5.277,Papyrus
CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2[nH]1,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2[nH]1,5.3650191999487715,"BindingDB,ChEMBL,Papyrus"
CC(C)(O)C(=O)Nc1sc(S(=O)(=O)c2ccc(F)cc2)cc1C(N)=O,CC(C)(O)C(=O)Nc1sc(S(=O)(=O)c2ccc(F)cc2)cc1C(N)=O,7.585026652029182,"BindingDB,ChEMBL,Papyrus"
CC(C)(O)CNC(=O)c1nc(-c2ccc(F)cc2)c(C(F)(F)F)cc1N,CC(C)(O)CNC(=O)c1nc(-c2ccc(F)cc2)c(C(F)(F)F)cc1N,7.431798275933005,"BindingDB,ChEMBL"
CC(C)(O)CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N,CC(C)(O)CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N,7.113509274827518,"BindingDB,ChEMBL,Papyrus"
CC(C)(O)CNC(=O)c1ncc(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1N,CC(C)(O)CNC(=O)c1ncc(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1N,7.481486060122112,"BindingDB,ChEMBL,Papyrus"
CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O,CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O,5.345,Papyrus
CC(C)C(CO)Nc1nc(NCc2ccc(S(N)(=O)=O)cc2)c2ncn(C(C)C)c2n1,CC(C)C(CO)Nc1nc(NCc2ccc(S(N)(=O)=O)cc2)c2ncn(C(C)C)c2n1,5.777,Papyrus
CC(C)CC(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,CC(C)CC(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,5.291,Papyrus
CC(C)CN=C(NS(=O)(=O)c1ccccc1)C(Cl)(Cl)Cl,CC(C)CN=C(NS(=O)(=O)c1ccccc1)C(Cl)(Cl)Cl,5.533,Papyrus
CC(C)CNC(=O)c1coc(=O)c(Br)c1,CC(C)CNC(=O)c1coc(=O)c(Br)c1,5.362,Papyrus
CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,5.889410289700751,BindingDB
CC(C)Cc1nc2oc3c(NCC4CCCO4)ncnc3c2c2c1CCC2,CC(C)Cc1nc2oc3c(NCC4CCCO4)ncnc3c2c2c1CCC2,5.542000000000001,Papyrus
CC(C)Nc1ncnc2ccc(Br)cc12,CC(C)Nc1ncnc2ccc(Br)cc12,6.151,Papyrus
CC(C)OC(=O)c1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(C(=O)OC(C)C)n3)n2)n1,CC(C)OC(=O)c1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(C(=O)OC(C)C)n3)n2)n1,5.347,Papyrus
CC(C)c1ccc(CN2CCc3nc(-c4ccccn4)nc(N4CCN(CCN(C)C)CC4)c3C2)cc1,CC(C)c1ccc(CN2CCc3nc(-c4ccccn4)nc(N4CCN(CCN(C)C)CC4)c3C2)cc1,6.521435901161594,"BindingDB,ChEMBL,Papyrus"
CC(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1,CC(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1,6.698970004336019,"BindingDB,ChEMBL,Papyrus"
CC(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1N,CC(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1N,6.522878745280337,"BindingDB,ChEMBL,Papyrus"
CC(C)c1ccc2[nH]c3c(c2c1)CN(C(=O)c1cc(C(F)(F)F)[nH]n1)CC3,CC(C)c1ccc2[nH]c3c(c2c1)CN(C(=O)c1cc(C(F)(F)F)[nH]n1)CC3,5.853871964321762,"BindingDB,ChEMBL,Papyrus"
CC(C)c1ccccc1NC(=O)c1c[nH]c2ccccc2c1=O,CC(C)c1ccccc1NC(=O)c1c[nH]c2ccccc2c1=O,6.698970004336019,"BindingDB,ChEMBL,Papyrus"
CC(C)c1nc(Cl)c(C#N)c2c1CCCC2,CC(C)c1nc(Cl)c(C#N)c2c1CCCC2,5.447,Papyrus
CC(C)c1nc(NCCO)c(C#N)c2c1CCCC2,CC(C)c1nc(NCCO)c(C#N)c2c1CCCC2,5.239,Papyrus
CC(C)c1nn(-c2cc[nH]c(=O)c2)c2nc(C(=O)O)cc(-c3ccc(N(C)C)cc3)c12,CC(C)c1nn(-c2cc[nH]c(=O)c2)c2nc(cc(-c3ccc(cc3)N(C)C)c12)C(O)=O,5.015247721884586,BindingDB
CC(C)c1nn(-c2ccccc2)c2nc(C(=O)O)cc(-c3ccc(N4CCOCC4)cc3)c12,CC(C)c1nn(-c2ccccc2)c2nc(C(=O)O)cc(-c3ccc(N4CCOCC4)cc3)c12,6.3487219860018556,"BindingDB,ChEMBL"
CC(C)n1c(SCc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,CC(C)n1c(SCc2ccccc2F)nc2c1c(=O)n(C)c(=O)n2C,5.154,Papyrus
CC(C=Nn1c(-c2ccncc2)n[nH]c1=S)=Cc1ccccc1,CC(C=Nn1c(-c2ccncc2)n[nH]c1=S)=Cc1ccccc1,6.367000000000001,Papyrus
CC(NC(=O)c1coc(=O)c(Br)c1)c1ccccc1,CC(NC(=O)c1coc(=O)c(Br)c1)c1ccccc1,5.3870000000000005,Papyrus
CC(O)(CNC(=O)c1nc(-c2ccc(Cl)cc2Cl)c(C(F)(F)F)cc1N)C(F)(F)F,CC(O)(CNC(=O)c1nc(-c2ccc(Cl)cc2Cl)c(C(F)(F)F)cc1N)C(F)(F)F,7.022013612252961,"BindingDB,ChEMBL"
CC(O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,CC(O)(CNC(=O)c1nc(Br)c(C(F)(F)F)cc1N)C(F)(F)F,7.48,Papyrus
CC(O)(CNC(=O)c1nc(C(F)(F)F)c(C(F)(F)F)cc1N)C(F)(F)F,CC(O)(CNC(=O)c1nc(C(F)(F)F)c(C(F)(F)F)cc1N)C(F)(F)F,8.05,Papyrus
CC(O)(CNC(=O)c1ncc(C(F)(F)F)cc1N)C(F)(F)F,CC(O)(CNC(=O)c1ncc(C(F)(F)F)cc1N)C(F)(F)F,6.640164517660112,"BindingDB,ChEMBL,Papyrus"
CC(O)(c1cn(-c2ccccc2F)nn1)c1cc(-c2cnc(C(F)(F)F)nc2)c2c(N)ncnn12,CC(O)(c1cn(-c2ccccc2F)nn1)c1cc(-c2cnc(C(F)(F)F)nc2)c2c(N)ncnn12,7.064695643566581,"BindingDB,ChEMBL"
CC(O)(c1nnc(-c2ncc(S(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc2N)o1)C(F)(F)F,CC(O)(c1nnc(-c2ncc(S(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc2N)o1)C(F)(F)F,8.744727494896694,ChEMBL
